id;item_code;item_name;category;description;quantity;reorder_level;selling_price;buying_price
1;IB;Versatile drive;CAT2;morph;25772;68270;98108;48391
2;Shoes Gambia intangible;circuit teal;CAT2;Buckinghamshire Identity;66268;14677;45114;60307
3;transmitting Home wireless;Internal Rustic Generic Granite Fish;CAT2;Savings Account payment Malagasy Ariary;10695;46144;31017;42090
4;Hat Organic virtual;Unbranded Cotton Gloves microchip Accounts;CAT2;Cambridgeshire Legacy Inlet;19567;88988;45626;42916
5;generating orange Salad;calculate payment withdrawal;CAT1;Steel Baby quantify;23165;73969;9788;80941
6;instruction set North Carolina methodology;virtual;CAT1;parse;32591;58846;11539;10919
7;back up Ball Awesome Wooden Chips;users;CAT2;Clothing;34567;15450;63655;74457
8;zero defect Wells driver;Wooden Views Synergized;CAT2;cultivate;66019;45600;59555;56042
9;teal;Associate;CAT1;auxiliary Ball;48243;77829;74045;77340
10;Plains Usability Facilitator;Bacon models;CAT2;engineer Checking Account;63819;81483;49084;47461
